,Global,Stereotype,Standard,Anti-Stereotype
Name,Business,,,
Propability to be picked,1,1.00,0.00,0.00
Item Count Range,,3 - 5,3 - 5,3 - 5
Tags,,premium; organic+vegetables; exotic,premium; organic+vegetables; fruit+exotic;,premium; organic+vegetables; fruit+exotic;
Not Tag,,,,
Specific Items,,water;lipstick;fish,,
Prefab Folder Path,,,,
Item On Floor Text,"I like my {0} clean; Look, lady, stop this!; Heyyyyyy!; You dropped my {0}",,,
Wating Too Long Text,"I need to be at the office 5 minutes ago!; Time is money!; No wonder YOU never made it anywhere!;I need to go, you know?",,,
Item Multiple Scanned Text,"You think just because I got money I'll pay for this {0} again?; I'm working very hard for my money, you know!; Let me talk to your manager!",,,
Not My Item Text,"I need my money for myself!; Just because I've made it, doesn't mean I have to buy stuff for everyone!; Look this {0} belongs to another customer; I'd fire you if I where you're boss!",,,
Item Not Scanned Text,"...; I like free {0}!; Keep the change!; I didn't see nothing!; ssshhhh, you didn't scan this {0}",,,
