,Global,Stereotype,Standard,Anti-Stereotype
Name,RichLady,,,
Propability to be picked,1,1.00,0.30,0.00
Item Count Range,,3 - 5,4 - 8,5 - 8
Tags,,luxury+premium,premium,cheap; deals
Not Tag,,,,
Specific Items,,,,
Prefab Folder Path,,,,
Item On Floor Text,"Honey, you dropped my {0} on the floor;I don’t pay for food on the floor;This {0} is for my housemaid then;Now my {0} comes with filth, thank you",,,
Wating Too Long Text,"Is this your first day here, sweetheart?;You are just as slow as my worthless daughter-in-law;Can I have a faster cashier, please?;You are wasting my time here. My manicurist is waiting!",,,
Item Multiple Scanned Text,"Am I having a deja vu or have you just scanned my {0} again?;Wake up my dear, you’ve already scanned this {0};Not paying for this twice, even if I could;Hey beautiful, that {0} has already been scanned",,,
Not My Item Text,"Not mine, sweetheart;Not mine, love;These signs are separating MINE from THEIRS, you know?",,,
Item Not Scanned Text,"I don't need free stuff, my love;CHESTO is giving me {0}s for free, of course;I'll go on a date with you for this free {0};Are you trying to flirt with me?;Oh, that {0} is on you then?",,,
