,Global,Stereotype,Standard,Anti-Stereotype
Name,Tscherno,,,
Propability to be picked,1,1.00,0.00,0.00
Item Count Range,,8 - 12,8 - 12,8 - 12
Tags,,luxury;alcohol;junk;exotic;snack,luxury;alcohol;junk;exotic;snack,luxury;alcohol;junk;exotic;snack
Not Tag,,,,
Specific Items,,beer_bottle;sushi;hot_dog;condom,,
Prefab Folder Path,,,,
Item On Floor Text,"Josef Who?; Broken Rules are broke!; #altgames suck, monetize this shit!; They don't know what they are talking about!; BOOOOORING!; This game needs more explosions and unicorns!; Why is he stuttering?",,,
Wating Too Long Text,"Josef Who?; Broken Rules are broke!; #altgames suck, monetize this shit!; They don't know what they are talking about!; BOOOOORING!; This game needs more explosions and unicorns!; Why is he stuttering?",,,
Item Multiple Scanned Text,"Josef Who?; Broken Rules are broke!; #altgames suck, monetize this shit!; They don't know what they are talking about!; BOOOOORING!; This game needs more explosions and unicorns!; Why is he stuttering?",,,
Not My Item Text,"Josef Who?; Broken Rules are broke!; #altgames suck, monetize this shit!; They don't know what they are talking about!; BOOOOORING!; This game needs more explosions and unicorns!; Why is he stuttering?",,,
Item Not Scanned Text,"Josef Who?; Broken Rules are broke!; #altgames suck, monetize this shit!; They don't know what they are talking about!; BOOOOORING!; This game needs more explosions and unicorns!; Why is he stuttering?",,,
